"","N","model","mse","var","bias"
"1",100,"exp",4.00000000000006,1.01058934408307e-29,-2.00000000000002
"2",100,"weibull",11741.4618913181,122.950131889231,107.794903686342
"3",100,"cox",NA,NA,NA
"4",150,"exp",4.00000000000005,9.02110275145155e-30,-2.00000000000001
"5",150,"weibull",668.391204497111,191.547140090168,21.8805743939195
"6",150,"cox",NA,NA,NA
